ProductID,Name,Description,Quantity,TagID,CategoryID,Price,BusinessID
88,Drain Cleaner Heavy Duty,Chemical drain clog remover,700,10,39,9.5,2
89,Chainsaw Gas-Powered,High-power cutting tool,40,10,40,250,7
90,Premium USB-C Cable (3ft),Fast charging and data transfer,1000,2,10,15,1
91,Smart Home Security System,Full kit with sensors and hub,130,7,17,350,6
92,Pressure Cooker Electric,Multi-functional cooker,190,2,20,119.99,8
93,Modular Desk System,Customizable office setup,35,2,47,450,9
94,Comic Book Set (Vol 1-5),Popular superhero comic series,280,5,50,49,18
95,Children's Picture Book,Illustrated story for ages 3-6,850,2,41,10,18
96,Classic Rock Magazine Subscription,12-month digital subscription,150,4,42,25,18
97,Women's Running Sneakers,Lightweight and supportive,450,2,43,75,19
98,Gold Plated Necklace,Delicate jewelry piece,320,5,44,80,19
99,Paddleboard Inflatable,Stand-up paddleboard with pump,60,5,45,299,20
100,Snow Ski Wax Kit,Full kit for tuning winter skis,150,9,46,39.99,20
